ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestSmall,3,0,2300800,1,3
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestTwoPoints,2,0,9000,1,1
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestLargerSet,6,0,402400,2,6
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestSmall,3,0,1965200,1,3
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestTwoPoints,2,0,9400,1,1
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestLargerSet,6,0,353800,2,6
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestSmall,3,0,2648600,1,3
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestTwoPoints,2,0,9300,1,1
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
ClosestPairTestLargerSet,6,0,317400,2,6
